,SNO,Gene ID,Transcript ID,Biotype,Strand,Seq region Name,Transcript Start,Transcript End,Transcript Length,No. of Exons
1127,1128,ENSG00000223839,ENST00000589112,lincRNA,1,9,40325482,40329111,768,4
1128,1129,ENSG00000223842,ENST00000420237,lincRNA,-1,1,219222248,219225497,1126,2
1129,1130,ENSG00000223850,ENST00000433810,lincRNA,1,2,15920399,15936017,1039,3
1130,1131,ENSG00000223855,ENST00000452622,lincRNA,1,7,520391,525232,3506,3
1131,1132,ENSG00000223859,ENST00000427579,lincRNA,1,2,67040546,67041966,567,2
1132,1133,ENSG00000223863,ENST00000436433,lincRNA,1,2,64486353,64500904,572,3
1133,1134,ENSG00000223870,ENST00000426609,lincRNA,1,21,25127469,25135247,291,4
1134,1135,ENSG00000223872,ENST00000449903,lincRNA,1,7,157501322,157503577,546,3
1135,1136,ENSG00000223874,ENST00000456163,lincRNA,1,2,216870772,216871639,393,2
1136,1137,ENSG00000223880,ENST00000434832,lincRNA,1,13,75250480,75252012,387,2
1137,1138,ENSG00000223881,ENST00000429469,lincRNA,-1,1,198597724,198598868,363,2
1138,1139,ENSG00000223883,ENST00000425517,lincRNA,1,1,69055898,69185003,627,5
1139,1140,ENSG00000223891,ENST00000439943,lincRNA,1,20,44210960,44226027,1441,3
1140,1141,ENSG00000223891,ENST00000437730,lincRNA,1,20,44210992,44226027,1563,4
1141,1142,ENSG00000223891,ENST00000442383,lincRNA,1,20,44211082,44226027,1482,2
1142,1143,ENSG00000223891,ENST00000435163,lincRNA,1,20,44211252,44224978,695,4
1143,1144,ENSG00000223891,ENST00000623343,lincRNA,1,20,44214898,44225071,827,4
1144,1145,ENSG00000223906,ENST00000446055,lincRNA,1,1,100344477,100345242,467,2
1145,1146,ENSG00000223914,ENST00000641941,lincRNA,1,12,40156113,40211419,4752,7
1146,1147,ENSG00000223914,ENST00000457989,lincRNA,1,12,40156239,40167612,470,2
1147,1148,ENSG00000223914,ENST00000417422,lincRNA,1,12,40166252,40167847,699,2
1148,1149,ENSG00000223944,ENST00000413901,lincRNA,-1,1,37262739,37325100,596,4
1149,1150,ENSG00000223946,ENST00000412701,lincRNA,1,6,42030053,42031382,161,2
1150,1151,ENSG00000223956,ENST00000451914,lincRNA,1,1,56414963,56415966,545,4
1151,1152,ENSG00000223956,ENST00000635434,lincRNA,1,1,56415064,56415962,268,2
1152,1153,ENSG00000223975,ENST00000436359,lincRNA,1,21,43465309,43467298,280,2
1153,1154,ENSG00000223979,ENST00000456090,lincRNA,-1,17,17674026,17677688,564,4
1154,1155,ENSG00000223985,ENST00000427398,lincRNA,-1,2,490944,492655,510,2
1155,1156,ENSG00000223993,ENST00000444137,lincRNA,-1,10,85431943,85432515,403,2
1156,1157,ENSG00000223999,ENST00000438185,lincRNA,-1,22,22692778,22693312,451,2
1157,1158,ENSG00000224000,ENST00000452366,lincRNA,1,1,172906900,172907684,658,2
1158,1159,ENSG00000224008,ENST00000433766,lincRNA,-1,20,55420336,55427197,2290,3
1159,1160,ENSG00000224015,ENST00000457890,lincRNA,-1,5,132179234,132181128,381,2
1160,1161,ENSG00000224017,ENST00000440213,lincRNA,1,7,41101604,41133507,1220,6
1161,1162,ENSG00000224018,ENST00000448063,lincRNA,-1,21,24155170,24188342,693,3
1162,1163,ENSG00000224023,ENST00000527483,lincRNA,-1,10,125700436,125719460,764,5
1163,1164,ENSG00000224023,ENST00000419400,lincRNA,-1,10,125700437,125707549,446,4
1164,1165,ENSG00000224023,ENST00000423178,lincRNA,-1,10,125705290,125719566,2600,5
1165,1166,ENSG00000224023,ENST00000528844,lincRNA,-1,10,125707237,125719546,718,3
1166,1167,ENSG00000224023,ENST00000525909,lincRNA,-1,10,125707302,125719524,487,2
1167,1168,ENSG00000224023,ENST00000531977,lincRNA,-1,10,125709006,125719448,589,2
1168,1169,ENSG00000224027,ENST00000415655,lincRNA,-1,22,27563839,27573573,577,3
1169,1170,ENSG00000224028,ENST00000417715,lincRNA,-1,2,140103583,140131780,444,4
1170,1171,ENSG00000224032,ENST00000413221,lincRNA,1,5,112160526,112164276,2969,3
1171,1172,ENSG00000224032,ENST00000427306,lincRNA,1,5,112160529,112162302,1367,2
1172,1173,ENSG00000224032,ENST00000442823,lincRNA,1,5,112160892,112162324,578,2
1173,1174,ENSG00000224032,ENST00000508590,lincRNA,1,5,112160934,112162311,292,3
1174,1175,ENSG00000224034,ENST00000449457,lincRNA,-1,10,5266033,5271236,692,2
1175,1176,ENSG00000224038,ENST00000427327,lincRNA,-1,9,39384506,39405305,476,3
1176,1177,ENSG00000224048,ENST00000440668,lincRNA,1,2,150612381,150635116,739,3
1177,1178,ENSG00000224048,ENST00000413247,lincRNA,1,2,150628897,150635348,774,5
1178,1179,ENSG00000224048,ENST00000423428,lincRNA,1,2,150628992,150634970,554,3
1179,1180,ENSG00000224048,ENST00000427615,lincRNA,1,2,150629055,150635340,531,5
1180,1181,ENSG00000224048,ENST00000443811,lincRNA,1,2,150629067,150634868,418,3
1181,1182,ENSG00000224049,ENST00000433178,lincRNA,1,3,187796187,187805258,608,2
1182,1183,ENSG00000224049,ENST00000417384,lincRNA,1,3,187796255,187805137,589,3
1183,1184,ENSG00000224074,ENST00000436123,lincRNA,-1,3,24096269,24103223,2964,4
1184,1185,ENSG00000224074,ENST00000432505,lincRNA,-1,3,24099974,24103238,2232,2
1185,1186,ENSG00000224075,ENST00000650665,lincRNA,1,Y,9784372,9833895,1591,12
1186,1187,ENSG00000224075,ENST00000445253,lincRNA,1,Y,9801153,9813245,427,5
1187,1188,ENSG00000224095,ENST00000431897,lincRNA,-1,2,102967408,102984429,437,4
1188,1189,ENSG00000224099,ENST00000413290,lincRNA,1,2,195448532,195478925,989,4
1189,1190,ENSG00000224132,ENST00000445534,lincRNA,1,2,237257091,237257676,350,2
1190,1191,ENSG00000224137,ENST00000429730,lincRNA,1,2,207662375,207667024,492,2
1191,1192,ENSG00000224141,ENST00000437492,lincRNA,-1,21,18561265,18760003,853,4
1192,1193,ENSG00000224141,ENST00000355189,lincRNA,-1,21,18561615,18759804,673,5
1193,1194,ENSG00000224141,ENST00000414582,lincRNA,-1,21,18612062,18753028,615,3
1194,1195,ENSG00000224153,ENST00000643190,lincRNA,1,3,184399790,184457844,1429,5
1195,1196,ENSG00000224153,ENST00000478780,lincRNA,1,3,184401537,184426836,574,3
1196,1197,ENSG00000224153,ENST00000419960,lincRNA,1,3,184401630,184439648,885,3
1197,1198,ENSG00000224153,ENST00000645656,lincRNA,1,3,184419869,184457891,3437,6
1198,1199,ENSG00000224164,ENST00000453179,lincRNA,1,6,24742302,24751921,555,3
1199,1200,ENSG00000224164,ENST00000423504,lincRNA,1,6,24749067,24751689,209,2
1200,1201,ENSG00000224167,ENST00000456651,lincRNA,1,1,112850028,112877871,587,3
1201,1202,ENSG00000224167,ENST00000422022,lincRNA,1,1,112850076,112877867,490,2
1202,1203,ENSG00000224173,ENST00000433065,lincRNA,1,2,67562067,67574044,1008,6
1203,1204,ENSG00000224174,ENST00000452795,lincRNA,1,1,16520694,16521796,327,2
1204,1205,ENSG00000224177,ENST00000417473,lincRNA,1,2,11393981,11403077,1330,3
1205,1206,ENSG00000224177,ENST00000437795,lincRNA,1,2,11399002,11402108,490,4
1206,1207,ENSG00000224177,ENST00000453100,lincRNA,1,2,11399054,11402258,399,2
1207,1208,ENSG00000224177,ENST00000432665,lincRNA,1,2,11399169,11402261,373,3
1208,1209,ENSG00000224184,ENST00000429878,lincRNA,1,2,11848622,11866284,558,2
1209,1210,ENSG00000224184,ENST00000438292,lincRNA,1,2,11865885,12309959,442,5
1210,1211,ENSG00000224184,ENST00000451644,lincRNA,1,2,12007116,12131585,623,4
1211,1212,ENSG00000224184,ENST00000412294,lincRNA,1,2,12007128,12578348,2183,6
1212,1213,ENSG00000224184,ENST00000450916,lincRNA,1,2,12007174,12083618,321,3
1213,1214,ENSG00000224184,ENST00000449986,lincRNA,1,2,12106584,12131548,478,3
1214,1215,ENSG00000224184,ENST00000412606,lincRNA,1,2,12314317,12561265,578,4
1215,1216,ENSG00000224187,ENST00000423643,lincRNA,-1,3,187958775,187966967,428,2
1216,1217,ENSG00000224187,ENST00000446091,lincRNA,-1,3,187965768,187976407,1524,2
1217,1218,ENSG00000224190,ENST00000446589,lincRNA,1,10,128912879,128916271,450,5
1218,1219,ENSG00000224222,ENST00000427247,lincRNA,-1,10,69994626,70007836,524,3
1219,1220,ENSG00000224228,ENST00000432694,lincRNA,1,1,172775905,173064015,808,5
1220,1221,ENSG00000224231,ENST00000446520,lincRNA,1,2,138101884,138105905,553,3
1221,1222,ENSG00000224239,ENST00000423193,lincRNA,1,3,857124,858091,497,2
1222,1223,ENSG00000224243,ENST00000421423,lincRNA,1,13,112107119,112108015,545,2
1223,1224,ENSG00000224247,ENST00000433588,lincRNA,-1,21,15493932,15496124,1376,2
1224,1225,ENSG00000224259,ENST00000635112,lincRNA,1,1,159961299,159984750,1996,3
1225,1226,ENSG00000224259,ENST00000443364,lincRNA,1,1,159961218,159979061,1266,4
1226,1227,ENSG00000224259,ENST00000423943,lincRNA,1,1,159961224,159979061,1113,3
1227,1228,ENSG00000224260,ENST00000424696,lincRNA,-1,1,209528455,209567673,863,7
1228,1229,ENSG00000224260,ENST00000453331,lincRNA,-1,1,209528541,209547580,641,6
1229,1230,ENSG00000224265,ENST00000451438,lincRNA,1,10,43323665,43327932,391,3
1230,1231,ENSG00000224267,ENST00000431077,lincRNA,1,9,63728877,63744910,347,3
1231,1232,ENSG00000224271,ENST00000652442,lincRNA,1,22,47630827,47635565,781,3
1232,1233,ENSG00000224271,ENST00000650947,lincRNA,1,22,47631194,47691491,1866,7
1233,1234,ENSG00000224271,ENST00000426452,lincRNA,1,22,47631256,47638150,3602,2
1234,1235,ENSG00000224271,ENST00000651071,lincRNA,1,22,47631655,47739115,1275,7
1235,1236,ENSG00000224271,ENST00000652499,lincRNA,1,22,47631659,47729028,1223,8
1236,1237,ENSG00000224271,ENST00000651536,lincRNA,1,22,47631659,47929010,1367,8
1237,1238,ENSG00000224271,ENST00000650683,lincRNA,1,22,47631659,47929020,1300,8
1238,1239,ENSG00000224271,ENST00000652072,lincRNA,1,22,47631663,47799280,2329,9
1239,1240,ENSG00000224271,ENST00000652656,lincRNA,1,22,47631663,47855601,1530,7
1240,1241,ENSG00000224271,ENST00000651445,lincRNA,1,22,47631670,47976347,3029,7
1241,1242,ENSG00000224271,ENST00000650834,lincRNA,1,22,47631674,47707583,3752,6
1242,1243,ENSG00000224271,ENST00000423737,lincRNA,1,22,47631674,47855600,1815,9
1243,1244,ENSG00000224271,ENST00000651381,lincRNA,1,22,47631678,47691501,1418,7
1244,1245,ENSG00000224271,ENST00000650660,lincRNA,1,22,47631678,47929010,1086,7
1245,1246,ENSG00000224271,ENST00000651056,lincRNA,1,22,47631679,47863015,1731,7
1246,1247,ENSG00000224271,ENST00000652611,lincRNA,1,22,47631680,47841255,1609,8
1247,1248,ENSG00000224271,ENST00000652399,lincRNA,1,22,47631690,47863750,2566,7
1248,1249,ENSG00000224271,ENST00000651394,lincRNA,1,22,47631694,47643298,1507,2
1249,1250,ENSG00000224271,ENST00000650749,lincRNA,1,22,47631697,47689670,1262,7
1250,1251,ENSG00000224271,ENST00000651458,lincRNA,1,22,47631697,47739105,1593,8
1251,1252,ENSG00000224271,ENST00000651311,lincRNA,1,22,47631697,47778979,1578,7
1252,1253,ENSG00000224271,ENST00000652123,lincRNA,1,22,47631697,47864662,1689,8
1253,1254,ENSG00000224271,ENST00000651884,lincRNA,1,22,47631701,47643918,1413,7
1254,1255,ENSG00000224271,ENST00000652597,lincRNA,1,22,47631702,47643918,973,4
1255,1256,ENSG00000224271,ENST00000652702,lincRNA,1,22,47631703,47752695,1423,9
1256,1257,ENSG00000224271,ENST00000652505,lincRNA,1,22,47631703,47856478,2069,4
1257,1258,ENSG00000224271,ENST00000650895,lincRNA,1,22,47631708,47689670,1444,9
1258,1259,ENSG00000224271,ENST00000652334,lincRNA,1,22,47631708,47729030,1043,8
1259,1260,ENSG00000224271,ENST00000652030,lincRNA,1,22,47631710,47863015,1837,7
1260,1261,ENSG00000224271,ENST00000651754,lincRNA,1,22,47631711,47704856,1080,7
1261,1262,ENSG00000224271,ENST00000651985,lincRNA,1,22,47631711,47778987,1598,7
1262,1263,ENSG00000224271,ENST00000650972,lincRNA,1,22,47631711,47823939,1575,7
1263,1264,ENSG00000224271,ENST00000651124,lincRNA,1,22,47631711,47947902,1243,8
1264,1265,ENSG00000224271,ENST00000652228,lincRNA,1,22,47631711,48013818,957,7
1265,1266,ENSG00000224271,ENST00000651403,lincRNA,1,22,47631711,48023004,7916,9
1266,1267,ENSG00000224271,ENST00000651308,lincRNA,1,22,47631714,47643939,1079,4
1267,1268,ENSG00000224271,ENST00000651637,lincRNA,1,22,47631715,47831077,908,7
1268,1269,ENSG00000224271,ENST00000650924,lincRNA,1,22,47631716,47778987,1828,9
1269,1270,ENSG00000224271,ENST00000651104,lincRNA,1,22,47631722,47687333,902,6
1270,1271,ENSG00000224271,ENST00000652168,lincRNA,1,22,47631727,47739105,1167,7
1271,1272,ENSG00000224271,ENST00000651003,lincRNA,1,22,47631727,47947838,1043,7
1272,1273,ENSG00000224271,ENST00000651293,lincRNA,1,22,47631728,47862423,765,3
1273,1274,ENSG00000224271,ENST00000651948,lincRNA,1,22,47631728,47863015,1983,8
1274,1275,ENSG00000224271,ENST00000652690,lincRNA,1,22,47631733,47739107,1464,7
1275,1276,ENSG00000224271,ENST00000651662,lincRNA,1,22,47631733,47823943,1531,7
1276,1277,ENSG00000224271,ENST00000651517,lincRNA,1,22,47631733,47847606,1401,8
1277,1278,ENSG00000224271,ENST00000650787,lincRNA,1,22,47631733,47855445,1325,7
1278,1279,ENSG00000224271,ENST00000651939,lincRNA,1,22,47631733,47947782,1083,8
1279,1280,ENSG00000224271,ENST00000652750,lincRNA,1,22,47631745,47739120,1439,7
1280,1281,ENSG00000224271,ENST00000651638,lincRNA,1,22,47631745,47864167,1413,8
1281,1282,ENSG00000224271,ENST00000651037,lincRNA,1,22,47631747,47637215,842,3
1282,1283,ENSG00000224271,ENST00000652080,lincRNA,1,22,47631751,47941077,1481,8
1283,1284,ENSG00000224271,ENST00000652206,lincRNA,1,22,47631753,47642797,1121,3
1284,1285,ENSG00000224271,ENST00000651294,lincRNA,1,22,47631771,47863015,1824,8
1285,1286,ENSG00000224271,ENST00000652164,lincRNA,1,22,47631776,47844141,834,6
1286,1287,ENSG00000224271,ENST00000651625,lincRNA,1,22,47631787,47662817,1517,3
1287,1288,ENSG00000224271,ENST00000651924,lincRNA,1,22,47631806,47638073,826,3
1288,1289,ENSG00000224271,ENST00000651938,lincRNA,1,22,47631992,47690988,765,7
1289,1290,ENSG00000224271,ENST00000650775,lincRNA,1,22,47631992,47729032,935,7
1290,1291,ENSG00000224271,ENST00000651538,lincRNA,1,22,47631992,47864492,1517,8
1291,1292,ENSG00000224271,ENST00000652675,lincRNA,1,22,47635181,47691012,788,7
1292,1293,ENSG00000224271,ENST00000651983,lincRNA,1,22,47686200,47730421,817,7
1293,1294,ENSG00000224271,ENST00000438810,lincRNA,1,22,47686241,47690847,585,5
1294,1295,ENSG00000224271,ENST00000651033,lincRNA,1,22,47686603,48015839,672,7
1295,1296,ENSG00000224271,ENST00000651584,lincRNA,1,22,47686879,47928994,508,4
1296,1297,ENSG00000224271,ENST00000650884,lincRNA,1,22,47699142,47739102,1044,5
1297,1298,ENSG00000224271,ENST00000651270,lincRNA,1,22,47699194,47730785,765,5
1298,1299,ENSG00000224271,ENST00000449941,lincRNA,1,22,47860610,47863018,1236,2
1299,1300,ENSG00000224286,ENST00000440404,lincRNA,-1,1,170271603,170278932,1457,3
1300,1301,ENSG00000224286,ENST00000451439,lincRNA,-1,1,170271767,170284208,388,3
1301,1302,ENSG00000224294,ENST00000440955,lincRNA,1,X,43176994,43226598,2228,6
1302,1303,ENSG00000224307,ENST00000455981,lincRNA,1,9,129282458,129285728,583,3
1303,1304,ENSG00000224310,ENST00000414816,lincRNA,-1,16,24661422,24671062,2907,3
1304,1305,ENSG00000224322,ENST00000412413,lincRNA,1,7,27361843,27409938,567,5
1305,1306,ENSG00000224326,ENST00000437080,lincRNA,-1,1,80534978,80584363,349,2
1306,1307,ENSG00000224329,ENST00000453470,lincRNA,-1,13,29872613,29888405,913,2
1307,1308,ENSG00000224330,ENST00000434321,lincRNA,-1,7,13854355,13859025,359,2
1308,1309,ENSG00000224342,ENST00000435643,lincRNA,1,2,207173634,207222790,554,5
1309,1310,ENSG00000224363,ENST00000441760,lincRNA,1,1,144641371,144919902,2502,4
1310,1311,ENSG00000224371,ENST00000437861,lincRNA,-1,6,160872888,160880394,310,2
1311,1312,ENSG00000224371,ENST00000650447,lincRNA,-1,6,160872888,160926204,571,4
1312,1313,ENSG00000224371,ENST00000454826,lincRNA,-1,6,160872894,160918529,439,3
1313,1314,ENSG00000224371,ENST00000443380,lincRNA,-1,6,160873016,160918449,413,4
1314,1315,ENSG00000224371,ENST00000413062,lincRNA,-1,6,160873086,160918649,332,3
1315,1316,ENSG00000224375,ENST00000422042,lincRNA,1,7,134684144,134687990,253,3
1316,1317,ENSG00000224382,ENST00000454152,lincRNA,1,10,4384246,4410612,2390,2
1317,1318,ENSG00000224382,ENST00000434902,lincRNA,1,10,4406502,4409251,869,2
1318,1319,ENSG00000224397,ENST00000651976,lincRNA,1,20,50247643,50265669,989,6
1319,1320,ENSG00000224397,ENST00000651466,lincRNA,1,20,50259019,50278421,1820,6
1320,1321,ENSG00000224397,ENST00000425497,lincRNA,1,20,50267486,50279795,2010,4
1321,1322,ENSG00000224397,ENST00000445003,lincRNA,1,20,50267499,50278427,539,3
1322,1323,ENSG00000224397,ENST00000422459,lincRNA,1,20,50276317,50279037,1058,3
1323,1324,ENSG00000224397,ENST00000421019,lincRNA,1,20,50277534,50278415,686,2
1324,1325,ENSG00000224397,ENST00000622604,lincRNA,1,20,50275670,50279795,1808,3
1325,1326,ENSG00000224400,ENST00000425176,lincRNA,1,2,16354256,16432702,317,3
1326,1327,ENSG00000224400,ENST00000427950,lincRNA,1,2,16355185,16432702,432,4
1327,1328,ENSG00000224404,ENST00000450365,lincRNA,-1,22,34208141,34209262,519,2
1328,1329,ENSG00000224406,ENST00000427474,lincRNA,-1,3,186454982,186456036,368,3
1329,1330,ENSG00000224406,ENST00000427914,lincRNA,-1,3,186454991,186493661,2285,8
1330,1331,ENSG00000224406,ENST00000458099,lincRNA,-1,3,186455539,186457405,434,5
1331,1332,ENSG00000224406,ENST00000441169,lincRNA,-1,3,186457453,186458482,576,2
1332,1333,ENSG00000224413,ENST00000451618,lincRNA,1,21,46037052,46039807,2198,2
1333,1334,ENSG00000224429,ENST00000434601,lincRNA,-1,13,21303515,21348721,960,7
1334,1335,ENSG00000224429,ENST00000608957,lincRNA,-1,13,21311042,21348721,869,7
1335,1336,ENSG00000224429,ENST00000423575,lincRNA,-1,13,21323269,21344845,699,3
1336,1337,ENSG00000224429,ENST00000411525,lincRNA,-1,13,21325625,21348721,664,5
1337,1338,ENSG00000224445,ENST00000634316,lincRNA,-1,1,99472332,99493149,859,5
1338,1339,ENSG00000224445,ENST00000635551,lincRNA,-1,1,99472386,99600995,611,5
1339,1340,ENSG00000224445,ENST00000438829,lincRNA,-1,1,99472415,99534015,442,4
1340,1341,ENSG00000224477,ENST00000448126,lincRNA,1,6,160698288,160700632,292,2
1341,1342,ENSG00000224477,ENST00000447702,lincRNA,1,6,160698493,160700632,122,2
1342,1343,ENSG00000224478,ENST00000642586,lincRNA,1,6,159094093,159116254,1269,5
1343,1344,ENSG00000224478,ENST00000421161,lincRNA,1,6,159107791,159116053,845,4
1344,1345,ENSG00000224481,ENST00000648583,lincRNA,1,1,148295895,148344636,1234,4
1345,1346,ENSG00000224481,ENST00000452996,lincRNA,1,1,148328999,148344636,1331,3
1346,1347,ENSG00000224504,ENST00000435367,lincRNA,1,10,85432863,85448961,2672,3
1347,1348,ENSG00000224506,ENST00000423208,lincRNA,1,6,125674353,125720218,2963,4
1348,1349,ENSG00000224511,ENST00000413591,lincRNA,-1,13,30103178,30108868,2618,2
1349,1350,ENSG00000224511,ENST00000432770,lincRNA,-1,13,30107599,30108875,480,2
1350,1351,ENSG00000224532,ENST00000435429,lincRNA,-1,6,6758276,6759291,506,2
1351,1352,ENSG00000224535,ENST00000439570,lincRNA,-1,1,212466816,212467743,359,2
1352,1353,ENSG00000224549,ENST00000448570,lincRNA,1,9,22767175,22768316,447,2
1353,1354,ENSG00000224559,ENST00000431979,lincRNA,1,2,131637025,131649615,3516,2
1354,1355,ENSG00000224565,ENST00000437920,lincRNA,-1,20,47391929,47412327,750,4
1355,1356,ENSG00000224568,ENST00000443205,lincRNA,1,2,107529487,107556326,1539,3
1356,1357,ENSG00000224568,ENST00000439893,lincRNA,1,2,107542749,107555639,580,2
1357,1358,ENSG00000224577,ENST00000443670,lincRNA,1,2,176637710,176655958,699,4
1358,1359,ENSG00000224577,ENST00000652227,lincRNA,1,2,176637736,176819180,1124,6
1359,1360,ENSG00000224582,ENST00000648831,lincRNA,1,6,29528750,29533556,1783,5
1360,1361,ENSG00000224582,ENST00000434657,lincRNA,1,6,29529420,29533665,2874,3
1361,1362,ENSG00000224582,ENST00000647732,lincRNA,1,6,29529443,29533560,4118,1
1362,1363,ENSG00000224582,ENST00000445296,lincRNA,1,6,29529476,29532157,399,4
1363,1364,ENSG00000224583,ENST00000421318,lincRNA,1,6,74642384,74652002,441,2
1364,1365,ENSG00000224592,ENST00000432922,lincRNA,1,1,38047314,38105734,593,4
1365,1366,ENSG00000224592,ENST00000428151,lincRNA,1,1,38047425,38119025,573,5
1366,1367,ENSG00000224605,ENST00000434493,lincRNA,-1,6,91390313,91393000,442,3
1367,1368,ENSG00000224610,ENST00000438026,lincRNA,-1,X,39226103,39299786,828,3
1368,1369,ENSG00000224612,ENST00000650838,lincRNA,-1,2,153168399,153201762,860,4
1369,1370,ENSG00000224612,ENST00000413043,lincRNA,-1,2,153171987,153201726,383,4
1370,1371,ENSG00000224616,ENST00000650038,lincRNA,-1,1,100251528,100266179,2668,4
1371,1372,ENSG00000224616,ENST00000421185,lincRNA,-1,1,100264009,100266120,423,4
1372,1373,ENSG00000224626,ENST00000431697,lincRNA,1,2,18784807,18787752,368,2
1373,1374,ENSG00000224635,ENST00000422519,lincRNA,-1,20,38406011,38416797,2004,2
1374,1375,ENSG00000224648,ENST00000452923,lincRNA,-1,9,37383178,37384434,243,2
1375,1376,ENSG00000224652,ENST00000457079,lincRNA,1,3,196142636,196160890,1828,3
1376,1377,ENSG00000224655,ENST00000438722,lincRNA,1,2,121790444,121796702,794,4
1377,1378,ENSG00000224655,ENST00000651479,lincRNA,1,2,121790447,121809959,1484,7
1378,1379,ENSG00000224655,ENST00000422238,lincRNA,1,2,121790460,121795040,650,3
1379,1380,ENSG00000224655,ENST00000435895,lincRNA,1,2,121790465,121796356,766,5
1380,1381,ENSG00000224655,ENST00000422649,lincRNA,1,2,121790492,121794919,350,4
1381,1382,ENSG00000224687,ENST00000421505,lincRNA,-1,1,178091508,178093984,2329,2
1382,1383,ENSG00000224687,ENST00000419458,lincRNA,-1,1,178091509,178093600,1971,2
1383,1384,ENSG00000224687,ENST00000452867,lincRNA,-1,1,178093150,178093572,300,2
1384,1385,ENSG00000224698,ENST00000419814,lincRNA,1,1,108420689,108433184,2481,2
1385,1386,ENSG00000224711,ENST00000455299,lincRNA,1,20,7347467,7367632,748,3
1386,1387,ENSG00000224714,ENST00000425902,lincRNA,-1,10,64901136,64924518,2572,2
1387,1388,ENSG00000224715,ENST00000434707,lincRNA,1,22,47345569,47373541,4364,4
1388,1389,ENSG00000224717,ENST00000442318,lincRNA,1,1,205455929,205469024,2885,3
1389,1390,ENSG00000224718,ENST00000457217,lincRNA,1,1,175877343,175880468,1809,3
1390,1391,ENSG00000224739,ENST00000457457,lincRNA,-1,2,43001355,43006060,237,3
1391,1392,ENSG00000224750,ENST00000422206,lincRNA,1,10,90454170,90501440,2368,3
1392,1393,ENSG00000224750,ENST00000453889,lincRNA,1,10,90454680,90461501,874,2
1393,1394,ENSG00000224750,ENST00000414903,lincRNA,1,10,90454698,90502968,462,4
1394,1395,ENSG00000224758,ENST00000423232,lincRNA,-1,10,132961340,132962237,604,2
1395,1396,ENSG00000224788,ENST00000429539,lincRNA,1,10,10058722,10063502,575,4
1396,1397,ENSG00000224790,ENST00000637940,lincRNA,1,21,36966492,36975164,2182,4
1397,1398,ENSG00000224790,ENST00000430068,lincRNA,1,21,36966512,36971828,438,4
1398,1399,ENSG00000224794,ENST00000434516,lincRNA,1,22,39292988,39295563,1778,2
1399,1400,ENSG00000224794,ENST00000641533,lincRNA,1,22,39294142,39295589,845,3
1400,1401,ENSG00000224795,ENST00000416725,lincRNA,-1,11,131662131,131663583,703,2
1401,1402,ENSG00000224810,ENST00000411509,lincRNA,-1,1,182062677,182069253,2463,3
1402,1403,ENSG00000224817,ENST00000458489,lincRNA,-1,10,101704652,101708401,291,2
1403,1404,ENSG00000224819,ENST00000424395,lincRNA,1,2,220791078,220797893,512,2
1404,1405,ENSG00000224832,ENST00000642623,lincRNA,-1,21,24304546,24309894,1140,5
1405,1406,ENSG00000224832,ENST00000416218,lincRNA,-1,21,24304550,24321377,2007,4
1406,1407,ENSG00000224843,ENST00000607607,lincRNA,1,6,26956992,26974367,5607,3
1407,1408,ENSG00000224843,ENST00000606878,lincRNA,1,6,26956993,27023924,927,3
1408,1409,ENSG00000224843,ENST00000652085,lincRNA,1,6,27020351,27023931,999,3
1409,1410,ENSG00000224843,ENST00000424968,lincRNA,1,6,27020453,27023924,507,3
1410,1411,ENSG00000224843,ENST00000420081,lincRNA,1,6,27020636,27023924,339,3
1411,1412,ENSG00000224844,ENST00000416509,lincRNA,-1,2,237122910,237124097,669,2
1412,1413,ENSG00000224848,ENST00000423924,lincRNA,1,9,96687056,96721121,425,2
1413,1414,ENSG00000224851,ENST00000423621,lincRNA,1,10,91033157,91062164,1000,8
1414,1415,ENSG00000224853,ENST00000443621,lincRNA,-1,13,73413473,73546841,282,2
1415,1416,ENSG00000224853,ENST00000649189,lincRNA,-1,13,73533759,73592265,1389,6
1416,1417,ENSG00000224853,ENST00000650209,lincRNA,-1,13,73536426,73661867,1542,4
1417,1418,ENSG00000224853,ENST00000648903,lincRNA,-1,13,73536909,73661853,1344,9
1418,1419,ENSG00000224853,ENST00000648624,lincRNA,-1,13,73545348,73661891,1499,4
1419,1420,ENSG00000224853,ENST00000647940,lincRNA,-1,13,73545901,73574217,1069,2
1420,1421,ENSG00000224853,ENST00000649254,lincRNA,-1,13,73545901,73574295,1148,4
1421,1422,ENSG00000224853,ENST00000649507,lincRNA,-1,13,73545909,73574260,979,3
1422,1423,ENSG00000224853,ENST00000452852,lincRNA,-1,13,73546387,73648253,486,2
1423,1424,ENSG00000224853,ENST00000649860,lincRNA,-1,13,73593407,73661312,335,4
1424,1425,ENSG00000224857,ENST00000450546,lincRNA,-1,1,121573946,121580524,426,2
1425,1426,ENSG00000224865,ENST00000452219,lincRNA,1,7,131897641,131933311,559,3
1426,1427,ENSG00000224865,ENST00000415393,lincRNA,1,7,131910220,131948953,1229,6
1427,1428,ENSG00000224884,ENST00000437047,lincRNA,-1,3,8573726,8593124,561,2
1428,1429,ENSG00000224893,ENST00000456715,lincRNA,-1,6,152794496,152831913,442,3
1429,1430,ENSG00000224893,ENST00000417654,lincRNA,-1,6,152804753,152805128,244,2
1430,1431,ENSG00000224893,ENST00000652681,lincRNA,-1,6,152830497,152875989,811,4
