,SNO,Gene ID,Transcript ID,Transcript Start,Transcript End,Transcript Length,No. of Exons
418,419,ENSG00000255433,ENST00000526436,56848568,56878078,2691,3
419,420,ENSG00000255484,ENST00000525984,112534220,112555802,2067,4
420,421,ENSG00000255502,ENST00000526385,97878781,97942762,546,4
421,422,ENSG00000255502,ENST00000527281,97918423,97942762,774,3
422,423,ENSG00000255512,ENST00000532071,135061781,135075899,714,3
423,424,ENSG00000255553,ENST00000524942,62077277,62082184,788,2
424,425,ENSG00000255666,ENST00000648581,94638045,94652884,2753,12
425,426,ENSG00000255666,ENST00000544019,94641907,94651628,644,7
426,427,ENSG00000255666,ENST00000541293,94641930,94648574,574,3
427,428,ENSG00000255666,ENST00000540151,94647444,94651631,483,4
428,429,ENSG00000255666,ENST00000542479,94647479,94651629,532,5
429,430,ENSG00000255774,ENST00000645449,69475567,69481545,2167,2
430,431,ENSG00000255774,ENST00000542064,69477133,69479940,726,2
431,432,ENSG00000255998,ENST00000544711,126690479,126691918,339,2
432,433,ENSG00000255998,ENST00000545535,126690481,126695832,540,3
433,434,ENSG00000256494,ENST00000536422,126400792,126405528,974,2
434,435,ENSG00000256551,ENST00000540745,128086985,128118132,801,4
435,436,ENSG00000256551,ENST00000536341,128112229,128118130,546,3
436,437,ENSG00000256576,ENST00000538731,132186735,132189695,1484,2
437,438,ENSG00000256659,ENST00000541258,128118217,128121952,1656,3
438,439,ENSG00000256684,ENST00000543403,96508425,96514748,404,4
439,440,ENSG00000256717,ENST00000539305,115659658,115843146,574,3
440,441,ENSG00000257067,ENST00000537491,115932774,115942995,548,4
441,442,ENSG00000257067,ENST00000539222,115932857,115940210,303,3
442,443,ENSG00000257139,ENST00000552324,70180338,70202004,578,3
443,444,ENSG00000258100,ENST00000651000,91344435,91368606,1343,6
444,445,ENSG00000258100,ENST00000551571,91362196,91368606,894,2
445,446,ENSG00000258586,ENST00000555539,73822559,73830135,1174,2
446,447,ENSG00000258742,ENST00000554653,92886352,92893026,446,3
447,448,ENSG00000258742,ENST00000557689,92891424,92893506,1990,2
448,449,ENSG00000258742,ENST00000556466,92891609,92893026,432,3
449,450,ENSG00000258742,ENST00000553485,92891617,92893026,449,3
450,451,ENSG00000258743,ENST00000555798,82642620,82651657,789,2
451,452,ENSG00000258743,ENST00000553760,82642627,82657766,773,3
452,453,ENSG00000258743,ENST00000555150,82642632,82706825,428,6
453,454,ENSG00000258743,ENST00000556970,82642636,82687370,169,3
454,455,ENSG00000258815,ENST00000555596,85318060,85342912,519,3
455,456,ENSG00000258859,ENST00000557070,87353070,87573022,544,7
456,457,ENSG00000259004,ENST00000557121,101120856,101123542,943,2
457,458,ENSG00000259245,ENST00000560056,36046082,36049529,632,2
458,459,ENSG00000259256,ENST00000558690,3347776,3350559,404,3
459,460,ENSG00000259267,ENST00000560700,70939053,70955641,534,3
460,461,ENSG00000259267,ENST00000558852,70939133,70944144,409,2
461,462,ENSG00000259284,ENST00000561386,61729850,61731389,963,2
462,463,ENSG00000259448,ENST00000559292,31216020,31220720,1450,2
463,464,ENSG00000259448,ENST00000557928,31216021,31224445,468,2
464,465,ENSG00000259815,ENST00000567538,208626741,208628085,285,2
465,466,ENSG00000259837,ENST00000564872,926083,927993,861,2
466,467,ENSG00000259947,ENST00000570087,1889114,1890434,484,2
467,468,ENSG00000260009,ENST00000566054,14363109,14370266,518,2
468,469,ENSG00000260151,ENST00000568270,27343436,27344917,1395,2
469,470,ENSG00000260193,ENST00000566567,136107808,136109081,1274,1
470,471,ENSG00000260193,ENST00000563018,136108105,136109424,775,2
471,472,ENSG00000260423,ENST00000567749,9367464,9397617,4388,4
472,473,ENSG00000260792,ENST00000564585,104661120,104665558,3816,2
473,474,ENSG00000260913,ENST00000567609,10405133,10414370,1907,3
474,475,ENSG00000260913,ENST00000566225,10411608,10414515,2908,1
475,476,ENSG00000261092,ENST00000566876,50390916,50395133,425,2
476,477,ENSG00000261194,ENST00000564156,75696079,75712385,1903,2
477,478,ENSG00000261231,ENST00000565451,47724568,47863599,547,3
478,479,ENSG00000261231,ENST00000569726,47858579,47908431,2626,6
479,480,ENSG00000261249,ENST00000569178,7302056,7307432,1770,2
480,481,ENSG00000261304,ENST00000565706,34651135,34655764,487,4
481,482,ENSG00000261637,ENST00000568607,51017544,51035771,897,4
482,483,ENSG00000261637,ENST00000563826,51017758,51035777,437,3
483,484,ENSG00000261811,ENST00000566684,5215394,5220594,272,3
484,485,ENSG00000263146,ENST00000575722,78976555,78978843,1256,2
485,486,ENSG00000263146,ENST00000583511,78977095,78978843,393,2
486,487,ENSG00000263146,ENST00000572007,78977288,78977883,471,2
487,488,ENSG00000263146,ENST00000573860,78978351,78979074,423,2
488,489,ENSG00000264232,ENST00000582028,65424013,65447512,559,3
489,490,ENSG00000264260,ENST00000581750,76209510,76215702,479,4
490,491,ENSG00000264404,ENST00000582543,47588681,47599830,1206,3
491,492,ENSG00000264404,ENST00000582385,47589178,47590330,496,2
492,493,ENSG00000264464,ENST00000582983,49499390,49501860,2190,2
493,494,ENSG00000264699,ENST00000581844,68258339,68264827,496,5
494,495,ENSG00000265352,ENST00000583756,71732615,71782226,575,5
495,496,ENSG00000265352,ENST00000584810,71779556,71782281,337,2
496,497,ENSG00000265352,ENST00000580323,71782076,71788128,312,3
497,498,ENSG00000265374,ENST00000583148,27225742,27247188,555,5
498,499,ENSG00000265485,ENST00000577994,24628182,24662198,2321,3
499,500,ENSG00000265485,ENST00000648293,24628233,24708542,3407,6
500,501,ENSG00000265485,ENST00000583558,24656993,24660405,596,3
501,502,ENSG00000265485,ENST00000578490,24673163,24674348,577,2
502,503,ENSG00000265514,ENST00000583985,5081182,5085477,540,2
503,504,ENSG00000265514,ENST00000579141,5084992,5095815,507,2
504,505,ENSG00000265555,ENST00000580659,67808505,67814822,2149,2
505,506,ENSG00000266258,ENST00000584919,70335439,70352459,815,4
506,507,ENSG00000266258,ENST00000583247,70336448,70352119,423,4
507,508,ENSG00000266278,ENST00000582251,70380140,70384591,2637,3
508,509,ENSG00000267013,ENST00000589125,55105904,55124306,3067,3
509,510,ENSG00000267013,ENST00000592405,55108311,55119598,576,3
510,511,ENSG00000267407,ENST00000593063,31542039,31554797,560,3
511,512,ENSG00000271334,ENST00000604954,39520431,39524708,599,3
512,513,ENSG00000271334,ENST00000603514,39521519,39524703,550,2
513,514,ENSG00000271564,ENST00000603464,52334295,52341896,852,3
514,515,ENSG00000271736,ENST00000607010,157280716,157283068,629,2
515,516,ENSG00000271850,ENST00000605909,34348043,34614170,573,4
516,517,ENSG00000272381,ENST00000605929,31187883,31261910,2246,2
517,518,ENSG00000272430,ENST00000605984,46632387,46635472,551,4
518,519,ENSG00000273409,ENST00000637808,127271029,127311936,351,3
519,520,ENSG00000273409,ENST00000608214,127271062,127337033,503,3
520,521,ENSG00000273415,ENST00000649115,128096042,128183212,1584,9
521,522,ENSG00000273415,ENST00000609911,128180427,128183554,951,2
522,523,ENSG00000274317,ENST00000617568,37934565,38048169,4959,5
523,524,ENSG00000274372,ENST00000614663,148021850,148025931,494,3
524,525,ENSG00000274372,ENST00000617309,148024436,148025931,439,2
525,526,ENSG00000274469,ENST00000621390,37571103,37583935,449,4
526,527,ENSG00000275212,ENST00000534849,125983702,125986234,570,3
527,528,ENSG00000275212,ENST00000642407,125983708,126043480,1529,10
528,529,ENSG00000275212,ENST00000620193,126032995,126043485,677,3
529,530,ENSG00000275852,ENST00000616333,58003904,58004648,628,2
530,531,ENSG00000276255,ENST00000623471,228073909,228076550,2642,1
531,532,ENSG00000276255,ENST00000611237,228073913,228076550,2638,1
532,533,ENSG00000276397,ENST00000611889,76690029,76693636,2338,2
533,534,ENSG00000276397,ENST00000616078,76690089,76691543,1455,1
534,535,ENSG00000276778,ENST00000619068,158320683,158409773,3748,7
535,536,ENSG00000277448,ENST00000615202,58165827,58209483,2753,3
536,537,ENSG00000277718,ENST00000619758,74379083,74390535,199,3
537,538,ENSG00000279082,ENST00000623256,21569976,21616325,1218,4
538,539,ENSG00000279082,ENST00000622928,21570138,21578028,545,2
539,540,ENSG00000279082,ENST00000624367,21612548,21615935,604,3
540,541,ENSG00000279082,ENST00000624385,21612644,21619674,940,4
541,542,ENSG00000279243,ENST00000622944,65487241,65488136,536,3
542,543,ENSG00000279243,ENST00000650251,65487246,65488228,627,3
543,544,ENSG00000280350,ENST00000624692,21610787,21703585,1253,5
544,545,ENSG00000280580,ENST00000627910,68878380,68893573,461,6
545,546,ENSG00000282111,ENST00000632635,229022773,229038274,659,4
546,547,ENSG00000282916,ENST00000635432,92914272,92915604,706,3
547,548,ENSG00000283000,ENST00000634331,34969909,34975578,967,2
548,549,ENSG00000283000,ENST00000635301,34973984,34975576,1113,3
549,550,ENSG00000283141,ENST00000635764,129784983,129806971,1005,7
550,551,ENSG00000283518,ENST00000637598,214051194,214187773,2074,5
551,552,ENSG00000284237,ENST00000638446,207959292,207969329,7440,5
552,553,ENSG00000284240,ENST00000640491,87212669,87251331,1152,4
553,554,ENSG00000284240,ENST00000640362,87212705,87264741,3864,4
554,555,ENSG00000284240,ENST00000640794,87221097,87261717,682,3
555,556,ENSG00000284623,ENST00000641212,38129464,38140593,1562,5
556,557,ENSG00000284668,ENST00000642026,3976133,4012699,753,3
557,558,ENSG00000284668,ENST00000641562,3976140,3998058,540,6
558,559,ENSG00000284668,ENST00000641078,3976140,3998855,1258,4
559,560,ENSG00000284674,ENST00000641403,4973381,4981568,1580,5
560,561,ENSG00000284678,ENST00000641026,39801414,39817460,673,4
561,562,ENSG00000285210,ENST00000645733,86288704,86320711,2837,5
562,563,ENSG00000285210,ENST00000647509,86288721,86296783,467,2
563,564,ENSG00000285210,ENST00000643804,86288879,86320186,1993,4
564,565,ENSG00000285462,ENST00000645557,79325008,79346445,1507,2
565,566,ENSG00000285532,ENST00000650406,90841587,90849472,754,4
566,567,ENSG00000285536,ENST00000649656,48708327,48711582,923,3
567,568,ENSG00000285594,ENST00000649128,9646110,9648502,970,2
568,569,ENSG00000285686,ENST00000649193,86669349,86708307,1446,3
569,570,ENSG00000285711,ENST00000649562,65225867,65241814,858,3
570,571,ENSG00000285735,ENST00000650337,134994982,135007779,2183,4
571,572,ENSG00000285768,ENST00000650562,85851446,85861562,1661,4
572,573,ENSG00000285808,ENST00000650621,72793104,72854475,1065,8
573,574,ENSG00000285823,ENST00000648660,25041136,25044225,756,2
574,575,ENSG00000285823,ENST00000648363,25041136,25047404,1108,3
575,576,ENSG00000285835,ENST00000649399,87847259,88045608,837,4
576,577,ENSG00000285866,ENST00000647740,94583506,94589259,775,3
577,578,ENSG00000285869,ENST00000648468,19334011,19337804,1489,3
578,579,ENSG00000285985,ENST00000650218,1350359,1364286,1458,5
579,580,ENSG00000286021,ENST00000652014,90576495,90818303,1791,6
