,SNO,Index,RefSeq Gene ID,Dbxref,Name,gbkey,Biotype,Type,Seq_id,Strand,Start,End,No. of Transcripts
3752,3753,885387,gene-LOC107986156,GeneID:107986156,LOC107986156,Gene,lncRNA,gene,NC_000003.12,-1,178224176,178226387,1
3753,3754,885392,gene-LOC105374235,GeneID:105374235,LOC105374235,Gene,lncRNA,gene,NC_000003.12,-1,178274666,178385432,3
3754,3755,885406,gene-LINC01014,"GeneID:100874330,HGNC:HGNC:41353",LINC01014,Gene,lncRNA,gene,NC_000003.12,1,178419201,178457305,1
3755,3756,885412,gene-KCNMB2-AS1,"GeneID:104797538,HGNC:HGNC:51409",KCNMB2-AS1,Gene,lncRNA,gene,NC_000003.12,-1,178525467,178860405,2
3756,3757,885523,gene-LOC101928739,GeneID:101928739,LOC101928739,Gene,lncRNA,gene,NC_000003.12,-1,179101371,179147973,1
3757,3758,885957,gene-LOC107986157,GeneID:107986157,LOC107986157,Gene,lncRNA,gene,NC_000003.12,-1,179489626,179527877,1
3758,3759,886107,gene-LOC107986158,GeneID:107986158,LOC107986158,Gene,lncRNA,gene,NC_000003.12,-1,179648909,179669737,1
3759,3760,887382,gene-PEX5L-AS2,"GeneID:101928790,HGNC:HGNC:41252",PEX5L-AS2,Gene,lncRNA,gene,NC_000003.12,1,179898194,179921899,3
3760,3761,887400,gene-LINC02053,"GeneID:100505609,HGNC:HGNC:52893",LINC02053,Gene,lncRNA,gene,NC_000003.12,1,180414173,180422501,1
3761,3762,887404,gene-LOC101928856,GeneID:101928856,LOC101928856,Gene,lncRNA,gene,NC_000003.12,-1,180481503,180602138,5
3762,3763,887655,gene-LOC101928882,GeneID:101928882,LOC101928882,Gene,lncRNA,gene,NC_000003.12,-1,180707589,180870178,1
3763,3764,887685,gene-LOC105374240,GeneID:105374240,LOC105374240,Gene,lncRNA,gene,NC_000003.12,1,180867948,180871402,1
3764,3765,888154,gene-SOX2-OT,"GeneID:347689,HGNC:HGNC:20209,MIM:616338",SOX2-OT,Gene,lncRNA,gene,NC_000003.12,1,181056680,181742228,6
3765,3766,888197,gene-LOC102724604,GeneID:102724604,LOC102724604,Gene,lncRNA,gene,NC_000003.12,-1,181421163,181442486,1
3766,3767,888222,gene-LINC01206,"GeneID:100996490,HGNC:HGNC:49637",LINC01206,Gene,lncRNA,gene,NC_000003.12,1,181952364,182010678,1
3767,3768,888233,gene-LOC105374242,GeneID:105374242,LOC105374242,Gene,lncRNA,gene,NC_000003.12,-1,182025654,182027708,2
3768,3769,888242,gene-LOC105374243,GeneID:105374243,LOC105374243,Gene,lncRNA,gene,NC_000003.12,-1,182149525,182182762,4
3769,3770,888273,gene-LINC01994,"GeneID:401103,HGNC:HGNC:52827",LINC01994,Gene,lncRNA,gene,NC_000003.12,-1,182446970,182486362,1
3770,3771,888281,gene-LINC01995,"GeneID:105374244,HGNC:HGNC:52828",LINC01995,Gene,lncRNA,gene,NC_000003.12,-1,182498290,182507124,1
3771,3772,888289,gene-LINC02031,"GeneID:102724617,HGNC:HGNC:52865",LINC02031,Gene,lncRNA,gene,NC_000003.12,1,182644100,182674596,3
3772,3773,888309,gene-LOC107986054,GeneID:107986054,LOC107986054,Gene,lncRNA,gene,NC_000003.12,-1,182693052,182699988,1
3773,3774,888315,gene-LOC105374245,GeneID:105374245,LOC105374245,Gene,lncRNA,gene,NC_000003.12,-1,182783333,182793358,3
3774,3775,889028,gene-LOC105374246,GeneID:105374246,LOC105374246,Gene,lncRNA,gene,NC_000003.12,1,182980942,182986729,1
3775,3776,889343,gene-LOC105374247,GeneID:105374247,LOC105374247,Gene,lncRNA,gene,NC_000003.12,1,183107866,183114410,1
3776,3777,889765,gene-LOC107986160,GeneID:107986160,LOC107986160,Gene,lncRNA,gene,NC_000003.12,1,183283753,183300561,1
3777,3778,889770,gene-LOC107986161,GeneID:107986161,LOC107986161,Gene,lncRNA,gene,NC_000003.12,1,183305785,183309045,1
3778,3779,889774,gene-LINC00888,"GeneID:100505687,HGNC:HGNC:48575",LINC00888,Gene,lncRNA,gene,NC_000003.12,1,183447608,183456013,2
3779,3780,889785,gene-SNORA63D,"GeneID:109616971,HGNC:HGNC:52211",SNORA63D,Gene,snoRNA,gene,NC_000003.12,1,183451859,183451990,1
3780,3781,889788,gene-SNORA63E,"GeneID:109617007,HGNC:HGNC:52212",SNORA63E,Gene,snoRNA,gene,NC_000003.12,1,183453814,183453946,1
3781,3782,889836,gene-KLHL6-AS1,"GeneID:100874019,HGNC:HGNC:40850",KLHL6-AS1,Gene,lncRNA,gene,NC_000003.12,1,183548735,183552326,1
3782,3783,889843,gene-LOC105374248,GeneID:105374248,LOC105374248,Gene,lncRNA,gene,NC_000003.12,1,183629967,183632985,1
3783,3784,889848,gene-LOC107986162,GeneID:107986162,LOC107986162,Gene,lncRNA,gene,NC_000003.12,-1,183635365,183636621,1
3784,3785,890955,gene-YEATS2-AS1,"GeneID:100874113,HGNC:HGNC:41101",YEATS2-AS1,Gene,lncRNA,gene,NC_000003.12,-1,183807064,183810451,1
3785,3786,891273,gene-MIR4448,"GeneID:100616127,HGNC:HGNC:41604,miRBase:MI0016791",MIR4448,Gene,miRNA,gene,NC_000003.12,1,183886800,183886885,2
3786,3787,891782,gene-ABCC5-AS1,"GeneID:100873982,HGNC:HGNC:40055",ABCC5-AS1,Gene,lncRNA,gene,NC_000003.12,1,184006338,184011419,1
3787,3788,891863,gene-LOC105374249,GeneID:105374249,LOC105374249,Gene,lncRNA,gene,NC_000003.12,-1,184073423,184135323,3
3788,3789,891880,gene-HTR3E-AS1,"GeneID:106478970,HGNC:HGNC:41032",HTR3E-AS1,Gene,lncRNA,gene,NC_000003.12,-1,184095118,184105178,1
3789,3790,892780,gene-MIR1224,"GeneID:100187716,HGNC:HGNC:33923,MIM:611620,miRBase:MI0003764",MIR1224,Gene,miRNA,gene,NC_000003.12,1,184241405,184241489,3
3790,3791,893689,gene-SNORD66,"GeneID:692107,HGNC:HGNC:32727",SNORD66,Gene,snoRNA,gene,NC_000003.12,1,184325696,184325771,1
3791,3792,895104,gene-LINC01839,"GeneID:105374251,HGNC:HGNC:41330",LINC01839,Gene,lncRNA,gene,NC_000003.12,1,184504713,184552863,1
3792,3793,895111,gene-LINC01840,"GeneID:100874079,HGNC:HGNC:40209",LINC01840,Gene,lncRNA,gene,NC_000003.12,-1,184546714,184556918,1
3793,3794,895248,gene-LINC02069,"GeneID:101928992,HGNC:HGNC:52915",LINC02069,Gene,lncRNA,gene,NC_000003.12,-1,184756389,184773155,1
3794,3795,895253,gene-LOC105374253,GeneID:105374253,LOC105374253,Gene,lncRNA,gene,NC_000003.12,1,184773260,184780944,3
3795,3796,896946,gene-EHHADH-AS1,"GeneID:339926,HGNC:HGNC:44133",EHHADH-AS1,Gene,lncRNA,gene,NC_000003.12,1,185162901,185191955,1
3796,3797,896996,gene-MIR5588,"GeneID:100847054,HGNC:HGNC:43505,miRBase:MI0019147",MIR5588,Gene,miRNA,gene,NC_000003.12,-1,185253210,185253272,3
3797,3798,897230,gene-LOC101929018,GeneID:101929018,LOC101929018,Gene,lncRNA,gene,NC_000003.12,-1,185458328,185480238,1
3798,3799,897286,gene-LOC105374254,GeneID:105374254,LOC105374254,Gene,lncRNA,gene,NC_000003.12,1,185499142,185504492,2
3799,3800,897398,gene-LOC107986055,GeneID:107986055,LOC107986055,Gene,lncRNA,gene,NC_000003.12,-1,185558320,185562097,1
3800,3801,898079,gene-IGF2BP2-AS1,"GeneID:646600,HGNC:HGNC:32674",IGF2BP2-AS1,Gene,lncRNA,gene,NC_000003.12,1,185713252,185729787,1
3801,3802,898089,gene-MIR548AQ,"GeneID:100847078,HGNC:HGNC:43488,miRBase:MI0019130",MIR548AQ,Gene,miRNA,gene,NC_000003.12,-1,185767847,185767904,3
3802,3803,898200,gene-LOC105374257,GeneID:105374257,LOC105374257,Gene,lncRNA,gene,NC_000003.12,1,186121530,186140279,2
3803,3804,898356,gene-LINC02020,"GeneID:107986164,HGNC:HGNC:52855",LINC02020,Gene,lncRNA,gene,NC_000003.12,1,186440345,186445242,3
3804,3805,898370,gene-LINC02052,"GeneID:253573,HGNC:HGNC:27372",LINC02052,Gene,lncRNA,gene,NC_000003.12,-1,186454981,186493661,1
3805,3806,898380,gene-LINC02051,"GeneID:107986165,HGNC:HGNC:52891",LINC02051,Gene,lncRNA,gene,NC_000003.12,1,186476600,186479426,1
3806,3807,898622,gene-LOC105374258,GeneID:105374258,LOC105374258,Gene,lncRNA,gene,NC_000003.12,-1,186641150,186715029,4
3807,3808,898751,gene-LOC105374259,GeneID:105374259,LOC105374259,Gene,lncRNA,gene,NC_000003.12,1,186753217,186761048,1
3808,3809,898788,gene-SNORD2,"GeneID:619567,HGNC:HGNC:32678",SNORD2,Gene,snoRNA,gene,NC_000003.12,1,186784796,186784865,1
3809,3810,898791,gene-SNORA63B,"GeneID:109617006,HGNC:HGNC:52209",SNORA63B,Gene,snoRNA,gene,NC_000003.12,1,186786323,186786447,1
3810,3811,898794,gene-MIR1248,"GeneID:100302143,HGNC:HGNC:35314,miRBase:MI0006383",MIR1248,Gene,miRNA,gene,NC_000003.12,1,186786672,186786777,2
3811,3812,898799,gene-SNORA81,"GeneID:677847,HGNC:HGNC:32667,MIM:611334",SNORA81,Gene,snoRNA,gene,NC_000003.12,1,186786675,186786852,1
3812,3813,898802,gene-SNORA63,"GeneID:6043,HGNC:HGNC:10106,MIM:180647",SNORA63,Gene,snoRNA,gene,NC_000003.12,1,186787299,186787433,1
3813,3814,898805,gene-SNORA4,"GeneID:619568,HGNC:HGNC:32587",SNORA4,Gene,snoRNA,gene,NC_000003.12,1,186787613,186787749,1
3814,3815,898853,gene-LINC02043,"GeneID:102724699,HGNC:HGNC:52883",LINC02043,Gene,lncRNA,gene,NC_000003.12,-1,186810880,186825521,1
3815,3816,898891,gene-ADIPOQ-AS1,"GeneID:100874095,HGNC:HGNC:40648",ADIPOQ-AS1,Gene,lncRNA,gene,NC_000003.12,-1,186851886,186861368,1
3816,3817,898974,gene-LOC101929106,GeneID:101929106,LOC101929106,Gene,lncRNA,gene,NC_000003.12,-1,187197090,187207629,1
3817,3818,899274,gene-LOC105374260,GeneID:105374260,LOC105374260,Gene,lncRNA,gene,NC_000003.12,1,187223201,187228230,1
3818,3819,899282,gene-LOC101929130,GeneID:101929130,LOC101929130,Gene,lncRNA,gene,NC_000003.12,1,187291272,187297933,1
3819,3820,899292,gene-LINC02041,"GeneID:105374261,HGNC:HGNC:52881",LINC02041,Gene,lncRNA,gene,NC_000003.12,1,187447046,187449949,1
3820,3821,899298,gene-LOC105374262,GeneID:105374262,LOC105374262,Gene,lncRNA,gene,NC_000003.12,-1,187522780,187535944,1
3821,3822,899334,gene-LOC100131635,GeneID:100131635,LOC100131635,Gene,lncRNA,gene,NC_000003.12,1,187702366,187732415,1
3822,3823,899430,gene-LOC105374263,GeneID:105374263,LOC105374263,Gene,lncRNA,gene,NC_000003.12,-1,187792595,187795687,1
3823,3824,899435,gene-LOC105374264,GeneID:105374264,LOC105374264,Gene,lncRNA,gene,NC_000003.12,-1,187835689,187890244,1
3824,3825,899440,gene-LOC105374265,GeneID:105374265,LOC105374265,Gene,lncRNA,gene,NC_000003.12,-1,187931469,187933225,1
3825,3826,899444,gene-LINC01991,"GeneID:105374266,HGNC:HGNC:52823",LINC01991,Gene,lncRNA,gene,NC_000003.12,-1,187958775,187976407,2
3826,3827,899452,gene-LOC107986166,GeneID:107986166,LOC107986166,Gene,lncRNA,gene,NC_000003.12,-1,187994323,188042597,2
3827,3828,899463,gene-LPP-AS2,"GeneID:339929,HGNC:HGNC:27952",LPP-AS2,Gene,lncRNA,gene,NC_000003.12,-1,188151206,188154088,1
3828,3829,899932,gene-FLJ42393,GeneID:401105,FLJ42393,Gene,lncRNA,gene,NC_000003.12,1,188178543,188180808,1
3829,3830,899935,gene-LPP-AS1,"GeneID:100873917,HGNC:HGNC:40346",LPP-AS1,Gene,lncRNA,gene,NC_000003.12,-1,188562237,188568666,1
3830,3831,899939,gene-MIR28,"GeneID:407020,HGNC:HGNC:31615,MIM:612154,miRBase:MI0000086",MIR28,Gene,miRNA,gene,NC_000003.12,1,188688781,188688866,3
3831,3832,899946,gene-TPRG1-AS1,"GeneID:100874043,HGNC:HGNC:42391",TPRG1-AS1,Gene,lncRNA,gene,NC_000003.12,-1,188941715,188947639,1
3832,3833,899950,gene-LOC107986168,GeneID:107986168,LOC107986168,Gene,lncRNA,gene,NC_000003.12,1,188947380,188957657,1
3833,3834,899956,gene-LOC107986167,GeneID:107986167,LOC107986167,Gene,lncRNA,gene,NC_000003.12,-1,188992207,189099087,4
3834,3835,900399,gene-TPRG1-AS2,"GeneID:100874027,HGNC:HGNC:41062",TPRG1-AS2,Gene,lncRNA,gene,NC_000003.12,-1,189238686,189240594,1
3835,3836,900404,gene-LOC105374270,GeneID:105374270,LOC105374270,Gene,lncRNA,gene,NC_000003.12,-1,189455151,189478306,1
3836,3837,900409,gene-LOC107986169,GeneID:107986169,LOC107986169,Gene,lncRNA,gene,NC_000003.12,1,189490231,189568246,1
3837,3838,900743,gene-MIR944,"GeneID:100126340,HGNC:HGNC:33690,miRBase:MI0005769",MIR944,Gene,miRNA,gene,NC_000003.12,1,189829922,189830009,2
3838,3839,900842,gene-P3H2-AS1,"GeneID:101929152,HGNC:HGNC:40886",P3H2-AS1,Gene,lncRNA,gene,NC_000003.12,1,190120964,190144846,1
3839,3840,900850,gene-LOC107986170,GeneID:107986170,LOC107986170,Gene,lncRNA,gene,NC_000003.12,1,190280290,190318156,1
3840,3841,901075,gene-LINC02013,"GeneID:105374272,HGNC:HGNC:52848",LINC02013,Gene,lncRNA,gene,NC_000003.12,-1,190696278,190699390,1
3841,3842,901103,gene-SNAR-I,"GeneID:100170222,HGNC:HGNC:34330",SNAR-I,Gene,snRNA,gene,NC_000003.12,1,190877930,190878050,1
3842,3843,901106,gene-LOC107986171,GeneID:107986171,LOC107986171,Gene,lncRNA,gene,NC_000003.12,1,191156153,191169185,1
3843,3844,901130,gene-OSTN-AS1,"GeneID:106480738,HGNC:HGNC:41250",OSTN-AS1,Gene,lncRNA,gene,NC_000003.12,-1,191213291,191234605,1
3844,3845,901246,gene-LINCR-0002,GeneID:103344926,LINCR-0002,Gene,lncRNA,gene,NC_000003.12,1,191425524,191590356,1
3845,3846,901259,gene-LOC105374275,GeneID:105374275,LOC105374275,Gene,lncRNA,gene,NC_000003.12,-1,191748642,191752891,1
3846,3847,901264,gene-LOC105374276,GeneID:105374276,LOC105374276,Gene,lncRNA,gene,NC_000003.12,-1,191781070,191808560,2
3847,3848,901276,gene-LOC105374277,GeneID:105374277,LOC105374277,Gene,lncRNA,gene,NC_000003.12,-1,192005064,192037436,1
3848,3849,901340,gene-FGF12-AS1,"GeneID:100873986,HGNC:HGNC:40234",FGF12-AS1,Gene,lncRNA,gene,NC_000003.12,1,192238630,192283097,1
3849,3850,901347,gene-FGF12-AS2,"GeneID:100873987,HGNC:HGNC:40235",FGF12-AS2,Gene,lncRNA,gene,NC_000003.12,1,192515022,192516573,1
3850,3851,901351,gene-LOC107986028,GeneID:107986028,LOC107986028,Gene,lncRNA,gene,NC_000003.12,-1,192661445,192673457,1
3851,3852,901356,gene-LOC107986056,GeneID:107986056,LOC107986056,Gene,lncRNA,gene,NC_000003.12,-1,192727723,192745186,1
3852,3853,901371,gene-LOC105374280,GeneID:105374280,LOC105374280,Gene,lncRNA,gene,NC_000003.12,-1,193237469,193241029,2
3853,3854,901421,gene-MGC2889,GeneID:84789,MGC2889,Gene,lncRNA,gene,NC_000003.12,1,193241779,193243972,1
3854,3855,901621,gene-ATP13A5-AS1,"GeneID:100874218,HGNC:HGNC:41281",ATP13A5-AS1,Gene,lncRNA,gene,NC_000003.12,1,193307244,193314521,1
3855,3856,901960,gene-ATP13A4-AS1,"GeneID:101929198,HGNC:HGNC:41095",ATP13A4-AS1,Gene,lncRNA,gene,NC_000003.12,1,193553213,193555584,2
3856,3857,902619,gene-OPA1-AS1,"GeneID:100873941,HGNC:HGNC:40421",OPA1-AS1,Gene,lncRNA,gene,NC_000003.12,-1,193618599,193627332,1
3857,3858,902624,gene-LOC102724808,GeneID:102724808,LOC102724808,Gene,lncRNA,gene,NC_000003.12,-1,193647187,193683279,7
3858,3859,902662,gene-LOC105374282,GeneID:105374282,LOC105374282,Gene,lncRNA,gene,NC_000003.12,-1,193770959,193772424,1
3859,3860,902668,gene-LOC105374283,GeneID:105374283,LOC105374283,Gene,lncRNA,gene,NC_000003.12,1,193787252,193792084,1
3860,3861,902674,gene-LOC105374284,GeneID:105374284,LOC105374284,Gene,lncRNA,gene,NC_000003.12,-1,193832779,193838019,2
3861,3862,902683,gene-LINC02038,"GeneID:105374285,HGNC:HGNC:52878",LINC02038,Gene,lncRNA,gene,NC_000003.12,-1,193840828,193844009,1
3862,3863,902688,gene-LOC105374287,GeneID:105374287,LOC105374287,Gene,lncRNA,gene,NC_000003.12,-1,193849050,193942349,1
3863,3864,902696,gene-LOC105374286,GeneID:105374286,LOC105374286,Gene,lncRNA,gene,NC_000003.12,1,193874751,193885456,2
3864,3865,902712,gene-LINC02026,"GeneID:647323,HGNC:HGNC:52861",LINC02026,Gene,lncRNA,gene,NC_000003.12,-1,193957372,194003659,1
3865,3866,902722,gene-LINC02028,"GeneID:285389,HGNC:HGNC:27718",LINC02028,Gene,lncRNA,gene,NC_000003.12,-1,194005456,194070970,3
3866,3867,902852,gene-LOC107986172,GeneID:107986172,LOC107986172,Gene,lncRNA,gene,NC_000003.12,-1,194159793,194162285,1
3867,3868,902857,gene-LINC02036,"GeneID:100505920,HGNC:HGNC:52876",LINC02036,Gene,lncRNA,gene,NC_000003.12,-1,194203016,194250153,2
3868,3869,902868,gene-LINC02037,"GeneID:101929337,HGNC:HGNC:52877",LINC02037,Gene,lncRNA,gene,NC_000003.12,1,194247648,194257772,1
3869,3870,902874,gene-LINC02048,"GeneID:105374289,HGNC:HGNC:52888",LINC02048,Gene,lncRNA,gene,NC_000003.12,1,194276588,194291532,2
3870,3871,902883,gene-LINC00887,"GeneID:100131551,HGNC:HGNC:48574",LINC00887,Gene,lncRNA,gene,NC_000003.12,-1,194301199,194312804,1
3871,3872,903379,gene-LINC00884,"GeneID:401106,HGNC:HGNC:48570",LINC00884,Gene,lncRNA,gene,NC_000003.12,1,194487140,194488545,1
3872,3873,903388,gene-TMEM44-AS1,"GeneID:100507297,HGNC:HGNC:44272",TMEM44-AS1,Gene,lncRNA,gene,NC_000003.12,1,194584268,194590832,3
3873,3874,903683,gene-LOC105374291,GeneID:105374291,LOC105374291,Gene,lncRNA,gene,NC_000003.12,1,194601777,194604244,1
3874,3875,903749,gene-LOC105374292,GeneID:105374292,LOC105374292,Gene,lncRNA,gene,NC_000003.12,1,194705548,194826859,3
3875,3876,903766,gene-LINC01968,"GeneID:100507391,HGNC:HGNC:52794",LINC01968,Gene,lncRNA,gene,NC_000003.12,1,194708421,194782168,1
3876,3877,903775,gene-LINC01972,"GeneID:105374293,HGNC:HGNC:52798",LINC01972,Gene,lncRNA,gene,NC_000003.12,-1,194765238,194768709,1
3877,3878,903780,gene-LOC107986174,GeneID:107986174,LOC107986174,Gene,lncRNA,gene,NC_000003.12,-1,194835609,194841132,1
3878,3879,903785,gene-LOC107986173,GeneID:107986173,LOC107986173,Gene,lncRNA,gene,NC_000003.12,-1,194848201,194853903,1
3879,3880,903790,gene-LOC105374294,GeneID:105374294,LOC105374294,Gene,lncRNA,gene,NC_000003.12,-1,194981583,194998957,2
3880,3881,903801,gene-LOC105374295,GeneID:105374295,LOC105374295,Gene,lncRNA,gene,NC_000003.12,-1,195005769,195014907,1
3881,3882,903864,gene-XXYLT1-AS1,"GeneID:100874528,HGNC:HGNC:41153",XXYLT1-AS1,Gene,lncRNA,gene,NC_000003.12,1,195094588,195096057,1
3882,3883,903870,gene-MIR3137,"GeneID:100422926,HGNC:HGNC:38263,miRBase:MI0014160",MIR3137,Gene,miRNA,gene,NC_000003.12,-1,195134506,195134580,2
3883,3884,903877,gene-XXYLT1-AS2,"GeneID:101410543,HGNC:HGNC:41154",XXYLT1-AS2,Gene,lncRNA,gene,NC_000003.12,1,195147871,195152856,2
3884,3885,903884,gene-LOC105374296,GeneID:105374296,LOC105374296,Gene,lncRNA,gene,NC_000003.12,-1,195148459,195151311,1
3885,3886,904529,gene-LOC107986029,GeneID:107986029,LOC107986029,Gene,lncRNA,gene,NC_000003.12,1,195623918,195625834,1
3886,3887,904533,gene-LOC105374298,GeneID:105374298,LOC105374298,Gene,lncRNA,gene,NC_000003.12,1,195636885,195652291,1
3887,3888,904537,gene-LOC105374297,GeneID:105374297,LOC105374297,Gene,lncRNA,gene,NC_000003.12,-1,195646635,195652159,2
3888,3889,904565,gene-MIR570HG,"GeneID:440993,HGNC:HGNC:53743",MIR570HG,Gene,lncRNA,gene,NC_000003.12,1,195688498,195711875,1
3889,3890,904572,gene-MIR570,"GeneID:693155,HGNC:HGNC:32826,MIM:614538,miRBase:MI0003577",MIR570,Gene,miRNA,gene,NC_000003.12,1,195699401,195699497,3
3890,3891,904746,gene-LINC01983,"GeneID:101929697,HGNC:HGNC:52813",LINC01983,Gene,lncRNA,gene,NC_000003.12,-1,195836455,195860404,2
3891,3892,904753,gene-LOC107984010,GeneID:107984010,LOC107984010,Gene,lncRNA,gene,NC_000003.12,-1,195839192,195847117,1
3892,3893,905351,gene-MIR6829,"GeneID:102465977,HGNC:HGNC:50055,miRBase:MI0022674",MIR6829,Gene,miRNA,gene,NC_000003.12,-1,195882329,195882395,3
3893,3894,905358,gene-TNK2-AS1,"GeneID:100128262,HGNC:HGNC:49093",TNK2-AS1,Gene,lncRNA,gene,NC_000003.12,1,195908076,195913264,1
3894,3895,905715,gene-LINC00885,"GeneID:401109,HGNC:HGNC:48571",LINC00885,Gene,lncRNA,gene,NC_000003.12,1,196142636,196160890,1
3895,3896,905720,gene-LOC105374303,GeneID:105374303,LOC105374303,Gene,lncRNA,gene,NC_000003.12,1,196192768,196194041,1
3896,3897,905887,gene-LOC105374304,GeneID:105374304,LOC105374304,Gene,lncRNA,gene,NC_000003.12,-1,196213616,196220396,5
3897,3898,905995,gene-TM4SF19-TCTEX1D2,"GeneID:100534611,HGNC:HGNC:49190",TM4SF19-TCTEX1D2,Gene,lncRNA,gene,NC_000003.12,-1,196316085,196338420,1
3898,3899,906003,gene-LOC107986031,GeneID:107986031,LOC107986031,Gene,lncRNA,gene,NC_000003.12,-1,196316710,196318005,1
3899,3900,906007,gene-TM4SF19-AS1,"GeneID:100874214,HGNC:HGNC:41085",TM4SF19-AS1,Gene,lncRNA,gene,NC_000003.12,1,196318332,196325570,2
3900,3901,906111,gene-UBXN7-AS1,"GeneID:100874034,HGNC:HGNC:41227",UBXN7-AS1,Gene,lncRNA,gene,NC_000003.12,1,196431385,196433034,1
3901,3902,906129,gene-LOC105374306,GeneID:105374306,LOC105374306,Gene,lncRNA,gene,NC_000003.12,-1,196496214,196500718,1
3902,3903,906133,gene-LOC105374307,GeneID:105374307,LOC105374307,Gene,lncRNA,gene,NC_000003.12,1,196505820,196506892,1
3903,3904,906254,gene-LINC01063,"GeneID:101929769,HGNC:HGNC:49092",LINC01063,Gene,lncRNA,gene,NC_000003.12,-1,196631504,196632587,1
3904,3905,906539,gene-NCBP2-AS1,"GeneID:100874001,HGNC:HGNC:40392",NCBP2-AS1,Gene,lncRNA,gene,NC_000003.12,1,196939877,196942534,1
3905,3906,906761,gene-MELTF-AS1,"GeneID:100507057,HGNC:HGNC:40373",MELTF-AS1,Gene,lncRNA,gene,NC_000003.12,1,197002906,197004744,1
3906,3907,908823,gene-MIR4797,"GeneID:100616216,HGNC:HGNC:41758,miRBase:MI0017444",MIR4797,Gene,miRNA,gene,NC_000003.12,-1,197293878,197293948,3
3907,3908,908830,gene-DLG1-AS1,"GeneID:100507086,HGNC:HGNC:44154",DLG1-AS1,Gene,lncRNA,gene,NC_000003.12,1,197298247,197303751,1
3908,3909,908835,gene-LOC101926923,GeneID:101926923,LOC101926923,Gene,lncRNA,gene,NC_000003.12,1,197333677,197338935,1
3909,3910,908840,gene-LOC105374308,GeneID:105374308,LOC105374308,Gene,lncRNA,gene,NC_000003.12,-1,197419856,197458406,3
3910,3911,908857,gene-LOC105374309,GeneID:105374309,LOC105374309,Gene,lncRNA,gene,NC_000003.12,1,197477986,197479651,1
3911,3912,908861,gene-LINC02012,"GeneID:100129516,HGNC:HGNC:52847",LINC02012,Gene,lncRNA,gene,NC_000003.12,-1,197505262,197509661,1
3912,3913,909075,gene-LOC112268458,GeneID:112268458,LOC112268458,Gene,lncRNA,gene,NC_000003.12,-1,197649303,197654440,2
3913,3914,909619,gene-MIR922,"GeneID:100126321,HGNC:HGNC:33672,miRBase:MI0005714",MIR922,Gene,miRNA,gene,NC_000003.12,-1,197674496,197674576,2
3914,3915,910231,gene-LOC105374310,GeneID:105374310,LOC105374310,Gene,lncRNA,gene,NC_000003.12,-1,197830870,197851296,1
3915,3916,910560,gene-LMLN-AS1,"GeneID:100873947,HGNC:HGNC:40738",LMLN-AS1,Gene,lncRNA,gene,NC_000003.12,-1,198038321,198039467,1
3916,3917,910585,gene-LOC107986177,GeneID:107986177,LOC107986177,Gene,lncRNA,gene,NC_000003.12,-1,198152155,198152798,1
3917,3918,910589,gene-FAM157A,"GeneID:728262,HGNC:HGNC:34079",FAM157A,Gene,lncRNA,gene,NC_000003.12,1,198153206,198222513,1
3918,3919,912057,gene-LOC105379426,GeneID:105379426,LOC105379426,Gene,lncRNA,gene,NT_167215.1,1,86,16759,1
3919,3920,912065,gene-LOC101928669,GeneID:101928669,LOC101928669,Gene,lncRNA,gene,NT_167215.1,-1,3622,80022,13
3920,3921,912133,gene-LOC107987361,GeneID:107987361,LOC107987361,Gene,lncRNA,gene,NT_167215.1,1,30586,38888,1
3921,3922,912258,gene-LOC105374336,GeneID:105374336,LOC105374336,Gene,lncRNA,gene,NC_000004.12,-1,307335,310074,1
3922,3923,912321,gene-MIR571,"GeneID:693156,HGNC:HGNC:32827,miRBase:MI0003578",MIR571,Gene,miRNA,gene,NC_000004.12,1,350157,350252,2
3923,3924,913079,gene-LOC105374338,GeneID:105374338,LOC105374338,Gene,lncRNA,gene,NC_000004.12,1,577168,584866,1
3924,3925,913630,gene-LOC101928521,GeneID:101928521,LOC101928521,Gene,lncRNA,gene,NC_000004.12,-1,652909,656188,2
3925,3926,914128,gene-LOC107986245,GeneID:107986245,LOC107986245,Gene,lncRNA,gene,NC_000004.12,1,694770,700629,1
3926,3927,914174,gene-LOC107986246,GeneID:107986246,LOC107986246,Gene,lncRNA,gene,NC_000004.12,1,739427,741416,1
3927,3928,914185,gene-LOC100129917,GeneID:100129917,LOC100129917,Gene,lncRNA,gene,NC_000004.12,-1,780149,781848,2
3928,3929,914206,gene-LOC105374339,GeneID:105374339,LOC105374339,Gene,lncRNA,gene,NC_000004.12,1,786981,796687,3
3929,3930,914221,gene-LOC105374340,GeneID:105374340,LOC105374340,Gene,lncRNA,gene,NC_000004.12,-1,841672,846821,2
3930,3931,915218,gene-LOC105374341,GeneID:105374341,LOC105374341,Gene,lncRNA,gene,NC_000004.12,1,872266,875124,2
3931,3932,916103,gene-LOC105374343,GeneID:105374343,LOC105374343,Gene,lncRNA,gene,NC_000004.12,1,1036211,1051506,1
3932,3933,916401,gene-LOC105374344,GeneID:105374344,LOC105374344,Gene,lncRNA,gene,NC_000004.12,1,1113639,1132975,1
3933,3934,916458,gene-LOC100130872,GeneID:100130872,LOC100130872,Gene,lncRNA,gene,NC_000004.12,-1,1195783,1208962,1
